PDB ID,Metabolism,SourceSet,EnzymeFamily,SourceSetDetail
5FSD,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
5G4H,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
5I8S,Sulfur/Carbon Salvage,Ni_primary_expanded,Acireductone dioxygenase (Ni form),Ni_primary_expanded
5I8T,Sulfur/Carbon Salvage,Ni_primary_expanded,Acireductone dioxygenase (Ni form),Ni_primary_expanded
5I91,Sulfur/Carbon Salvage,Ni_primary_expanded,Acireductone dioxygenase (Ni form),Ni_primary_expanded
5I93,Sulfur/Carbon Salvage,Ni_primary_expanded,Acireductone dioxygenase (Ni form),Ni_primary_expanded
5JSH,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
5ODC,Anaerobic Energy Conservation,FeBinding_primary108,,FeBinding_primary108
5OL4,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
5SW4,ROS Detox,FeBinding_primary108,,FeBinding_primary108
5VJ0,ROS Detox,FeBinding_primary108,,FeBinding_primary108
5XF9,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
5XFA,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
5Y34,Anaerobic Hydrogen Metabolism,FeBinding_primary108,,FeBinding_primary108
6B6W,Anaerobic Acetogenesis,Ni_primary_expanded,Carbon monoxide dehydrogenase (Ni site),Ni_primary_expanded
6B6Y,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
6C1W,Anaerobic Energy Conservation,Ni_primary_expanded,Lactate racemase,Ni_primary_expanded
6CFW,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
6EF8,Anaerobic Metal Reduction,FeBinding_primary108,,FeBinding_primary108
6ELQ,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
6HIU,Methane Oxidation,FeBinding_primary108,,FeBinding_primary108
6M0Q,Nitrification,FeBinding_primary108,,FeBinding_primary108
6QDY,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
6RKO,Unknown,FeBinding_primary108,,FeBinding_primary108
6RX4,Unknown,FeBinding_primary108,,FeBinding_primary108
6X5K,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
7C8Z,Aromatic Dioxygenation,FeBinding_primary108,,FeBinding_primary108
7CUW,Unknown,FeBinding_primary108,,FeBinding_primary108
7DLQ,ROS Detox,FeBinding_primary108,,FeBinding_primary108
7KOE,Anaerobic Energy Conservation,FeBinding_primary108,,FeBinding_primary108
7NYP,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,ACS,FE+NI_overlap
7NYS,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,ACS,FE+NI_overlap
7NZ5,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,ACS,FE+NI_overlap
7O0D,Anaerobic Acetogenesis,Ni_primary_expanded,Acetyl-CoA synthase (Ni site),Ni_primary_expanded
7OSE,Unknown,FeBinding_primary108,,FeBinding_primary108
7QYQ,ROS Detox,FeBinding_primary108,,FeBinding_primary108
7XDP,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
7XQW,Methane Oxidation,FeBinding_primary108,,FeBinding_primary108
7Z0S,Anaerobic Energy Conservation,FeBinding_primary108,,FeBinding_primary108
7ZVZ,Methane Oxidation,FeBinding_primary108,,FeBinding_primary108
8AJZ,Unknown,FeBinding_primary108,,FeBinding_primary108
8DJW,ROS Detox,FeBinding_primary108,,FeBinding_primary108
8J83,Methane Oxidation,FeBinding_primary108,,FeBinding_primary108
8OGI,ROS Detox,FeBinding_primary108,,FeBinding_primary108
8ON0,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,Legacy_FE_NI_shared_families
8RXN,Anaerobic Hydrogen Metabolism,FeBinding_primary108,,FeBinding_primary108
8W6X,Anaerobic Hydrogen Metabolism,Legacy_FE_NI_shared_families,NiFe_hydrogenases,FE+NI_overlap
9BOV,Anaerobic Energy Conservation,FeBinding_primary108,,FeBinding_primary108
9BT4,Anaerobic Energy Conservation,FeBinding_primary108,,FeBinding_primary108
9C0Q,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
9C0R,Anaerobic Acetogenesis,Legacy_FE_NI_shared_families,CODH,FE+NI_overlap
9FZY,Anaerobic Acetogenesis,Ni_primary_expanded,Acetyl-CoA synthase (Ni site),Ni_primary_expanded
9G00,Anaerobic Acetogenesis,Ni_primary_expanded,Acetyl-CoA synthase (Ni site),Ni_primary_expanded
9G01,Anaerobic Acetogenesis,Ni_primary_expanded,Acetyl-CoA synthase (Ni site),Ni_primary_expanded
9G02,Anaerobic Acetogenesis,Ni_primary_expanded,Acetyl-CoA synthase (Ni site),Ni_primary_expanded
9G03,Anaerobic Acetogenesis,Ni_primary_expanded,Acetyl-CoA synthase (Ni site),Ni_primary_expanded
9G6B,Unknown,FeBinding_primary108,,FeBinding_primary108
9G7I,Anaerobic Acetogenesis,Ni_primary_expanded,Acetyl-CoA synthase (Ni site),Ni_primary_expanded
9GML,Nitrogen Metabolism,Ni_primary_expanded,Urease,Ni_primary_expanded
9HE6,ROS Detox,FeBinding_primary108,,FeBinding_primary108
9NEZ,Anaerobic Hydrogen Metabolism,FeBinding_primary108,,FeBinding_primary108
9QDT,ROS Detox,FeBinding_primary108,,FeBinding_primary108
9R2G,Unknown,FeBinding_primary108,,FeBinding_primary108
